2021-05-05 10:20:45,737 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.capitalone.dashboard.auth.DefaultAuthenticationTest], using SpringBootContextLoader
2021-05-05 10:20:45,949 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5d20195b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2674ca88, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@67a3dd86, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@430212cb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1eb52131, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1e1598e5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67a3394c, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@34e4fb39, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@36fe83d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@310f8a05, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f98ac31, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5cb6abc8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20e48e63]
2021-05-05 10:20:45,996 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:45,997 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1896299b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@42d7e8bc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7b6854b5, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@357cdb00, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c0fe6c5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61607ff0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@58945295, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@b63365c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6839d03b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@a44ad33, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@703e5614, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@627d5f99, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44e3f3e5]
2021-05-05 10:20:46,022 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,022 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6686507b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2123a61c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e5c7cd5, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f252762, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5b74bb75, org.springframework.test.context.transaction.TransactionalTestExecutionListener@675bf541, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2aac87ab, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@c14bbab, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72c5064f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4a0c04ab, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@453439e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2d33795c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@779ef5cb]
2021-05-05 10:20:46,029 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,030 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7aa1fb0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5e663ab, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b74a67a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4e25282d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3b29d36c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@d641499, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@634d3439, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@44e0c3d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@71891d6b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ce41f1f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@56820446, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2259d54f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1b82f62a]
2021-05-05 10:20:46,042 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,042 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3f838072, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@46c9ee28, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@31f5ffb9, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@19b3d3a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3a9040f0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@33214124, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d3768ce, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@2a9ea03f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1231f25c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ba0b95f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3dc7c5fd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@62871522, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7fb9a83c]
2021-05-05 10:20:46,051 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,051 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2f64f99f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16c1d11, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@123d0816, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4601a148, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4e210016, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2fc40856, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5543d800, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@1e033801, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58e4aa67, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@57ed8f95, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1c25deb0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1be12e05, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66ab088c]
2021-05-05 10:20:46,059 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,059 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@61f08aa9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1a1f22f2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@37b5a51c, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4e782401, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2bb84aa5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4853f592, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52d434c1, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@5d035ab6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3407ded1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@63af52a6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@10ae002e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@573f2e67, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d449307]
2021-05-05 10:20:46,067 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,068 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1018f702, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5400db7e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a84b6de, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@76eee0b1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2119b989, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73905dff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5c0d3715, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@5d67bf4d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@31de8099, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@40d04cf8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@75507e68, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@152d2a58, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@50b2ba2c]
2021-05-05 10:20:46,075 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:46,075 [main] INFO  o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15bcecf9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4f0cdd0f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@22ea6051, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@539bb233, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21b2579d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@87f1201, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@796613b7, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@77622c82, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@44df834c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34c07ecc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7df23848, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b120d48, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@236f3885]
